Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Hundåla;151.1Z;1993;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;1994;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;1995;0.58;0.1;NA;NA;NA;FALSE;7;4;0;3;1;0;0;0;0;0;0;0
Hundåla;151.1Z;1996;0.58;0.1;NA;NA;NA;FALSE;35;8;0;15;2;0;0;0;0;0;0;0
Hundåla;151.1Z;1997;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;1998;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;1999;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2000;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2001;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2002;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2003;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2004;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2005;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2006;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2007;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2008;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2009;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2010;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2011;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2012;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2013;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2014;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2015;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2016;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2017;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2018;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2019;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2020;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2021;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2022;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hundåla;151.1Z;2023;0.58;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
